election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,PROVISIONAL,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,MAIL-IN,41,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,TIM DEFOOR,REP,TOTAL,294,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,ELECTION DAY,5,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,MAIL-IN,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,REECE SMITH,LIB,TOTAL,6,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,ELECTION DAY,3,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,MAIL-IN,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,ERIC K ANTON,ASP,TOTAL,3,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,ELECTION DAY,4,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,PROVISIONAL,0,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
2024 GENERAL,PENNSYLVANIA,MCKEAN COUNTY,Annin Township,MCKEAN COUNTY,AUDITOR GENERAL,BOB GOODRICH,CST,MAIL-IN,1,0,OFFICIAL RESULTS,https://cms6.revize.com/revize/mckeancountypa/OfficialPrecinctGen24.pdf,OfficialPrecinctGen24.pdf,12/09/2024 09:26 AM
