election,state,county,precinct,jurisdiction,office,candidate,party,vote_mode,votes,writein,result_status,source_url,source_filename,datetime_retrieved
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Eugene DePasquale,DEM,TOTAL,133,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Dave Sunday,REP,ELECTION DAY,580,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Dave Sunday,REP,PROVISIONAL,4,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Dave Sunday,REP,MAIL-IN,104,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Dave Sunday,REP,TOTAL,688,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Robert Cowburn,LIB,ELECTION DAY,11,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Robert Cowburn,LIB,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Robert Cowburn,LIB,MAIL-IN,2,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Robert Cowburn,LIB,TOTAL,13,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Richard L. Weiss,GRN,ELECTION DAY,1,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Richard L. Weiss,GRN,PROVISIONAL,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Richard L. Weiss,GRN,MAIL-IN,0,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
2024 GENERAL,PENNSYLVANIA,TIOGA COUNTY,Sullivan Township,TIOGA COUNTY,ATTORNEY GENERAL,Richard L. Weiss,GRN,TOTAL,1,0,OFFICIAL RESULTS,https://www.tiogacountypa.us/getmedia/909e2bb9-480d-44e6-a84b-6e1186180129/officialresultswithoutsenate.pdf,officialresultswithoutsenate.pdf,11/19/2024 1:01 PM
